alpha,layer,avg_branching_factor_mean,avg_branching_factor_std,gini_doc_distribution_mean,gini_doc_distribution_std,gini_branch_distribution_mean,gini_branch_distribution_std,node_count_mean,node_count_std,run_id_count
0.01,0.0,63.3333,3.7859,0.0,0.0,0.0,0.0,1.0,0.0,3
0.01,1.0,3.8475,0.4128,0.5729,0.0356,0.4183,0.0451,63.3333,3.7859,3
0.01,2.0,0.0,0.0,0.4164,0.0349,0.0,0.0,242.6667,12.3423,3
0.05,0.0,60.6667,1.1547,0.0,0.0,0.0,0.0,1.0,0.0,3
0.05,1.0,3.912,0.4364,0.5886,0.0197,0.4031,0.0629,60.6667,1.1547,3
0.05,2.0,0.0,0.0,0.4597,0.0744,0.0,0.0,237.0,22.3383,3
0.1,0.0,58.6667,3.5119,0.0,0.0,0.0,0.0,1.0,0.0,3
0.1,1.0,4.3078,0.211,0.5321,0.0113,0.4328,0.0121,58.6667,3.5119,3
0.1,2.0,0.0,0.0,0.3857,0.0219,0.0,0.0,252.3333,9.5044,3
0.2,0.0,72.0,5.5678,0.0,0.0,0.0,0.0,1.0,0.0,3
0.2,1.0,3.5552,0.3567,0.4993,0.0319,0.4354,0.0179,72.0,5.5678,3
0.2,2.0,0.0,0.0,0.3757,0.0124,0.0,0.0,254.6667,7.7675,3
0.5,0.0,45.3333,9.5044,0.0,0.0,0.0,0.0,1.0,0.0,3
0.5,1.0,5.5396,1.4194,0.7245,0.0298,0.5911,0.0421,45.3333,9.5044,3
0.5,2.0,0.0,0.0,0.4065,0.0348,0.0,0.0,242.3333,10.9697,3
1.0,0.0,60.5,4.9497,0.0,0.0,0.0,0.0,1.0,0.0,2
1.0,1.0,4.1976,0.5889,0.5908,0.0438,0.4695,0.0581,60.5,4.9497,2
1.0,2.0,0.0,0.0,0.4318,0.0583,0.0,0.0,252.5,14.8492,2
