rhat_len_docs,mean_jaccard,mean_ratio,rhat_threshold,converged,iteration,timestamp
1.459254252337725,"[0.93853969151332, 0.9296318776188409, 0.9212500774235247]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,55,1755561755.8341436
1.21452189522744,"[0.9369094134592103, 0.9325216025388613, 0.9236954738209588]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,75,1755562948.9973328
2.0791882924066516,"[0.941492899493763, 0.9408364903389728, 0.9268725916761144]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,95,1755564172.1784313
1.8558300444271885,"[0.9412752435235999, 0.9373625371157432, 0.9285485707474253]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,115,1755565455.4773402
1.5018863461691643,"[0.9432204941716671, 0.9406743583761346, 0.9358781028385883]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,135,1755566753.844065
2.0064546326228774,"[0.9398816046273926, 0.9408178679364448, 0.9359058385230737]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,155,1755568012.2060862
1.3194831146026624,"[0.9369158260798942, 0.9396285576308159, 0.9315269249066416]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,175,1755569280.5994074
1.100895280904405,"[0.936409461903277, 0.9384804091990828, 0.9333265250502973]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,195,1755570559.0231874
1.2400423503366713,"[0.9432370844669764, 0.9376243680171467, 0.9288042997500714]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,215,1755571862.539666
1.0552878818045777,"[0.9364665462366707, 0.9372068733686534, 0.9410469182569127]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,True,235,1755573141.0121882
